Cutoff Height (m),,TOTAL - Total number of soundings,TOTAL - Successful inversion count,TOTAL - No inversion count,TOTAL - False positive count,TOTAL - False negative count,TOTAL - Percent Successful (overall),TOTAL - Percent Successful (inversions only),,KUNR - Total number of soundings,KUNR - Successful inversion count,KUNR - No inversion count,KUNR - False positive count,KUNR - False negative count,KUNR - Percent Successful (overall),KUNR - Percent Successful (inversions only),,KRIW - Total number of soundings,KRIW - Successful inversion count,KRIW - No inversion count,KRIW - False positive count,KRIW - False negative count,KRIW - Percent Successful (overall),KRIW - Percent Successful (inversions only),,KGGW - Total number of soundings,KGGW - Successful inversion count,KGGW - No inversion count,KGGW - False positive count,KGGW - False negative count,KGGW - Percent Successful (overall),KGGW - Percent Successful (inversions only),,KDNR - Total number of soundings,KDNR - Successful inversion count,KDNR - No inversion count,KDNR - False positive count,KDNR - False negative count,KDNR - Percent Successful (overall),KDNR - Percent Successful (inversions only),
5000,,16861,7153,3315,855,5538,62.08,56.36,,4312,1677,616,227,1792,53.18,48.34,,4332,1692,1018,213,1409,62.56,54.56,,4327,2226,561,245,1295,64.41,63.22,,3890,1558,1120,170,1042,68.84,59.92,
4900,,16861,7146,3306,863,5546,61.99,56.3,,4312,1660,605,244,1803,52.53,47.94,,4332,1706,1025,200,1401,63.04,54.91,,4327,2228,548,243,1308,64.16,63.01,,3890,1552,1128,176,1034,68.89,60.02,
4800,,16861,7174,3328,839,5520,62.29,56.51,,4312,1672,608,232,1800,52.88,48.16,,4332,1706,1023,204,1399,63.0,54.94,,4327,2247,553,224,1303,64.71,63.3,,3890,1549,1144,179,1018,69.23,60.34,
4700,,16861,7162,3340,851,5508,62.29,56.53,,4312,1667,612,237,1796,52.85,48.14,,4332,1701,1024,209,1398,62.9,54.89,,4327,2241,555,230,1301,64.62,63.27,,3890,1553,1149,175,1013,69.46,60.52,
4600,,16861,7142,3364,874,5481,62.31,56.58,,4312,1659,616,245,1792,52.76,48.07,,4332,1697,1038,217,1380,63.13,55.15,,4327,2236,561,235,1295,64.64,63.32,,3890,1550,1149,177,1014,69.38,60.45,
4500,,16861,7148,3401,871,5441,62.56,56.78,,4312,1658,615,246,1793,52.71,48.04,,4332,1701,1049,216,1366,63.48,55.46,,4327,2242,572,229,1284,65.03,63.58,,3890,1547,1165,180,998,69.72,60.79,
4400,,16861,7141,3427,877,5416,62.68,56.87,,4312,1658,619,246,1789,52.81,48.1,,4332,1704,1061,212,1355,63.83,55.7,,4327,2230,581,241,1275,64.96,63.62,,3890,1549,1166,178,997,69.79,60.84,
4300,,16861,7137,3427,884,5413,62.65,56.87,,4312,1658,623,246,1785,52.9,48.16,,4332,1702,1063,219,1348,63.83,55.8,,4327,2234,569,237,1287,64.78,63.45,,3890,1543,1172,182,993,69.79,60.84,
4200,,16861,7121,3468,907,5365,62.8,57.03,,4312,1657,633,247,1775,53.11,48.28,,4332,1695,1064,234,1339,63.69,55.87,,4327,2238,587,232,1270,65.29,63.8,,3890,1531,1184,194,981,69.79,60.95,
4100,,16861,7118,3508,912,5323,63.02,57.21,,4312,1659,639,245,1769,53.29,48.4,,4332,1693,1081,238,1320,64.04,56.19,,4327,2224,599,246,1258,65.24,63.87,,3890,1542,1189,183,976,70.21,61.24,
4000,,16861,7126,3538,903,5294,63.25,57.38,,4312,1648,658,256,1750,53.48,48.5,,4332,1688,1099,243,1302,64.34,56.45,,4327,2244,582,226,1275,65.31,63.77,,3890,1546,1199,178,967,70.57,61.52,
