Cutoff Height (m),,TOTAL - Total number of soundings,TOTAL - Successful inversion count,TOTAL - No inversion count,TOTAL - False positive count,TOTAL - False negative count,TOTAL - Percent Successful (overall),TOTAL - Percent Successful (inversions only),,KUNR - Total number of soundings,KUNR - Successful inversion count,KUNR - No inversion count,KUNR - False positive count,KUNR - False negative count,KUNR - Percent Successful (overall),KUNR - Percent Successful (inversions only),,KRIW - Total number of soundings,KRIW - Successful inversion count,KRIW - No inversion count,KRIW - False positive count,KRIW - False negative count,KRIW - Percent Successful (overall),KRIW - Percent Successful (inversions only),,KGGW - Total number of soundings,KGGW - Successful inversion count,KGGW - No inversion count,KGGW - False positive count,KGGW - False negative count,KGGW - Percent Successful (overall),KGGW - Percent Successful (inversions only),,KDNR - Total number of soundings,KDNR - Successful inversion count,KDNR - No inversion count,KDNR - False positive count,KDNR - False negative count,KDNR - Percent Successful (overall),KDNR - Percent Successful (inversions only),
5000,,16861,7987,2958,2209,3707,64.91,68.3,,4312,1904,568,583,1257,57.33,60.23,,4332,2046,870,716,700,67.31,74.51,,4327,2330,502,530,965,65.45,70.71,,3890,1707,1018,380,785,70.05,68.5,
4900,,16861,7959,2951,2244,3707,64.71,68.22,,4312,1878,559,609,1266,56.52,59.73,,4332,2051,873,717,691,67.5,74.8,,4327,2334,489,527,977,65.24,70.49,,3890,1696,1030,391,773,70.08,68.69,
4800,,16861,7997,2967,2216,3681,65.03,68.48,,4312,1893,558,596,1265,56.84,59.94,,4332,2050,872,721,689,67.45,74.84,,4327,2354,497,510,966,65.89,70.9,,3890,1700,1040,389,761,70.44,69.08,
4700,,16861,7989,2978,2229,3665,65.04,68.55,,4312,1887,563,604,1258,56.82,60.0,,4332,2045,874,727,686,67.38,74.88,,4327,2353,496,512,966,65.84,70.89,,3890,1704,1045,386,755,70.67,69.3,
4600,,16861,7973,2998,2253,3637,65.07,68.67,,4312,1888,569,605,1250,56.98,60.17,,4332,2040,883,737,672,67.47,75.22,,4327,2343,500,523,961,65.7,70.91,,3890,1702,1046,388,754,70.64,69.3,
4500,,16861,7977,3025,2258,3601,65.25,68.9,,4312,1886,567,610,1249,56.89,60.16,,4332,2036,886,746,664,67.45,75.41,,4327,2354,510,513,950,66.19,71.25,,3890,1701,1062,389,738,71.03,69.74,
4400,,16861,7969,3046,2276,3570,65.33,69.06,,4312,1891,570,605,1246,57.07,60.28,,4332,2043,899,742,648,67.91,75.92,,4327,2335,517,537,938,65.91,71.34,,3890,1700,1060,392,738,70.95,69.73,
4300,,16861,7959,3040,2291,3571,65.23,69.03,,4312,1886,573,613,1240,57.03,60.33,,4332,2036,900,751,645,67.77,75.94,,4327,2345,501,528,953,65.77,71.1,,3890,1692,1066,399,733,70.9,69.77,
4200,,16861,7947,3087,2310,3517,65.44,69.32,,4312,1879,582,621,1230,57.07,60.44,,4332,2033,906,758,635,67.84,76.2,,4327,2352,520,522,933,66.37,71.6,,3890,1683,1079,409,719,71.0,70.07,
4100,,16861,7922,3118,2344,3477,65.48,69.5,,4312,1879,587,623,1223,57.19,60.57,,4332,2017,916,777,622,67.71,76.43,,4327,2332,529,545,921,66.12,71.69,,3890,1694,1086,399,711,71.47,70.44,
4000,,16861,7949,3147,2323,3442,65.81,69.78,,4312,1866,605,637,1204,57.31,60.78,,4332,2024,934,773,601,68.28,77.1,,4327,2360,513,519,935,66.4,71.62,,3890,1699,1095,394,702,71.83,70.76,
3900,,16861,7935,3208,2343,3375,66.09,70.16,,4312,1865,621,640,1186,57.65,61.13,,4332,2012,943,787,590,68.21,77.33,,4327,2364,529,517,917,66.86,72.05,,3890,1694,1115,399,682,72.21,71.3,
3800,,16861,7943,3222,2338,3358,66.22,70.29,,4312,1864,623,641,1184,57.68,61.15,,4332,2025,947,776,584,68.61,77.62,,4327,2358,530,524,915,66.74,72.04,,3890,1696,1122,397,675,72.44,71.53,
3700,,16861,7975,3265,2311,3310,66.66,70.67,,4312,1881,625,626,1180,58.12,61.45,,4332,2025,975,778,554,69.25,78.52,,4327,2368,540,514,905,67.21,72.35,,3890,1701,1125,393,671,72.65,71.71,
3600,,16861,7950,3310,2343,3258,66.78,70.93,,4312,1864,644,644,1160,58.16,61.64,,4332,2028,977,778,549,69.37,78.7,,4327,2354,553,531,889,67.18,72.59,,3890,1704,1136,390,660,73.01,72.08,
3500,,16861,7947,3355,2355,3204,67.03,71.27,,4312,1861,652,652,1147,58.28,61.87,,4332,2034,1001,774,523,70.06,79.55,,4327,2350,555,537,885,67.14,72.64,,3890,1702,1147,392,649,73.24,72.39,
3400,,16861,7943,3397,2366,3155,67.26,71.57,,4312,1855,670,659,1128,58.56,62.19,,4332,2035,994,777,526,69.92,79.46,,4327,2348,569,540,870,67.41,72.96,,3890,1705,1164,390,631,73.75,72.99,
3300,,16861,7961,3454,2350,3096,67.7,72.0,,4312,1853,685,664,1110,58.86,62.54,,4332,2029,997,784,522,69.85,79.54,,4327,2369,595,520,843,68.5,73.75,,3890,1710,1177,382,621,74.22,73.36,
3200,,16861,7954,3518,2358,3031,68.04,72.41,,4312,1846,696,670,1100,58.95,62.66,,4332,2034,1023,781,494,70.57,80.46,,4327,2363,611,525,828,68.73,74.05,,3890,1711,1188,382,609,74.52,73.75,
3100,,16861,7961,3568,2355,2977,68.38,72.78,,4312,1863,712,652,1085,59.72,63.2,,4332,2035,1026,783,488,70.66,80.66,,4327,2354,633,537,803,69.03,74.56,,3890,1709,1197,383,601,74.7,73.98,
3000,,16861,7973,3634,2349,2905,68.84,73.29,,4312,1877,731,640,1064,60.48,63.82,,4332,2028,1034,794,476,70.68,80.99,,4327,2366,656,527,778,69.84,75.25,,3890,1702,1213,388,587,74.94,74.36,
2900,,16861,7976,3690,2349,2846,69.19,73.7,,4312,1865,747,653,1047,60.58,64.05,,4332,2025,1047,797,463,70.91,81.39,,4327,2375,673,518,761,70.44,75.73,,3890,1711,1223,381,575,75.42,74.85,
2800,,16861,8013,3772,2315,2761,69.9,74.37,,4312,1865,770,654,1023,61.11,64.58,,4332,2043,1061,780,448,71.65,82.02,,4327,2378,705,517,727,71.25,76.59,,3890,1727,1236,364,563,76.17,75.41,
2700,,16861,8027,3814,2307,2713,70.23,74.74,,4312,1866,775,655,1016,61.25,64.75,,4332,2041,1071,785,435,71.84,82.43,,4327,2395,726,500,706,72.13,77.23,,3890,1725,1242,367,556,76.27,75.62,
2600,,16861,8020,3883,2317,2641,70.59,75.23,,4312,1859,799,662,992,61.64,65.21,,4332,2043,1079,784,426,72.07,82.75,,4327,2390,749,507,681,72.54,77.82,,3890,1728,1256,364,542,76.71,76.12,
2500,,16861,8052,3940,2289,2580,71.12,75.73,,4312,1871,820,653,968,62.41,65.9,,4332,2060,1082,770,420,72.53,83.06,,4327,2390,769,505,663,73.01,78.28,,3890,1731,1269,361,529,77.12,76.59,
2400,,16861,8072,4015,2268,2506,71.69,76.31,,4312,1877,845,647,943,63.13,66.56,,4332,2077,1091,756,408,73.13,83.58,,4327,2387,799,506,635,73.63,78.99,,3890,1731,1280,359,520,77.4,76.9,
2300,,16861,8078,4094,2262,2427,72.19,76.9,,4312,1870,880,656,906,63.78,67.36,,4332,2080,1094,753,405,73.27,83.7,,4327,2397,828,493,609,74.53,79.74,,3890,1731,1292,360,507,77.71,77.35,
2200,,16861,8089,4156,2252,2364,72.62,77.38,,4312,1883,891,645,893,64.33,67.83,,4332,2074,1104,760,394,73.36,84.04,,4327,2395,858,493,581,75.18,80.48,,3890,1737,1303,354,496,78.15,77.79,
2100,,16861,8089,4223,2252,2297,73.02,77.88,,4312,1887,914,644,867,64.96,68.52,,4332,2084,1110,752,386,73.73,84.37,,4327,2391,885,496,555,75.71,81.16,,3890,1727,1314,360,489,78.17,77.93,
2000,,16861,8091,4303,2245,2222,73.51,78.45,,4312,1892,940,634,846,65.68,69.1,,4332,2072,1120,768,372,73.68,84.78,,4327,2397,916,489,525,76.57,82.03,,3890,1730,1327,354,479,78.59,78.32,
